Sample Article Title ,Sample Keyword  ,Volume,Difficulty,Category,Geo,Notes / Sample URL ,,,
Free Homeschool Programs,free homeschool programs,1600,60,Programs - Free ,National ,Optimize homepage for these keyword if appropriate ,,,
,homeschool programs,8300,49,Programs  ,National ,,,,https://opened.co/open-education
,,,,,,,,,https://opened.co/open-education/curriculum
Online Homeschool Programs ,online homeschool programs,3200,62,Programs - Online ,National ,https://opened.co/blog/online-homeschool-programs,,,https://opened.co/open-education/laws
,,,,,,,,,https://opened.co/open-education/resources
Best Accredited Homeschool Programs ,accredited homeschool programs,2700,19,Programs - Accredited ,National ,https://opened.co/blog/best-accredited-homeschool-programs,,,https://opened.co/homeschool
,best homeschool programs,1800,34,Programs - Best ,National ,,,,
,,,,,,,,,
What is Open Education ,open education,350,53,What Is ,National ,https://opened.co/open-education,,,https://opened.co/montessori
Open Education Curriculum,open education curriculum,10,0,What Is - Curriculum,National ,https://opened.co/open-education/curriculum,,,
Open Education Laws,open education laws,10,0,What Is - Laws,National ,https://opened.co/open-education/laws,,,
Open Education Resources ,open education resources,10,0,What Is - Resources,National ,https://opened.co/open-education/resources,Can also optimize blog/resources section for this ,,
,,,,,,,,,
Homeschool with Open Ed,homeschool,21000,43,Pedagogy / Type ,National ,https://opened.co/homeschool,,,
Microschool with Open Ed ,microschool,1000,13,Pedagogy / Type ,National ,https://opened.co/microschool,,,
Hybrid School Open Ed ,hybrid school,500,6,Pedagogy / Type ,National ,https://opened.co/hybrid-school,,,
Montesori with Open Ed,montesori,63000,80,Pedagogy / Type ,National ,https://opened.co/montesorri,,,
Unschool with Open Ed ,unschool,700,28,Pedagogy / Type ,National ,https://opened.co/unschool,,,
World School with Open Ed ,world school,300,25,Pedagogy / Type ,National ,https://opened.co/world-school,,,
Virtual School with Open Ed ,virtual school ,4100,52,Pedagogy / Type ,National ,https://opened.co/virtual-school,,,
Co-op Education with Open Ed ,co-op education ,40,13,Pedagogy / Type ,National ,https://opened.co/coop-education,,,
Classical Education with Open Ed ,classical education ,4100,13,Pedagogy / Type ,National ,https://opened.co/classical-education,Additional pieces: Classical Education Curriculum,,
Kindergarten Homeschool with Open Ed ,homeschool kinderrgarten ,700,0,Pedagogy / Type ,National ,https://opened.co/kindergarten-homeschool,,,
,,,,,,,,,
Virtual School in Utah with Open Ed ,utah virtual school,4,52,Pedagogy / State ,State ,https://opened.co/virtual-school/utah,,,
Virtual School in Utah with Open Ed ,[state] virtual school,tbd,tbd,Pedagogy / State ,State ,https://opened.co/virtual-school/[state],,,
,,,,,,,,,
Online Homeschool Curriculum,homeschool curriculum,15000,67,Curriculum,National ,https://opened.co/blog/online-homeschool-curriculum,,,
,online homeschool curriculum,3800,65,Curriculum - Online,National ,,,,
,,,,,,,,,
Free Homeschool Curriculum ,free homeschool curriculum,2500,62,Curriculum - Free ,National ,https://opened.co/blog/free-homeschool-curriculum,,,
,,,,,,,,,
Best Homeschool Curriculum ,best homeschool curriculum,3500,14,Curriculum - Best ,National ,,,,
,,,,,,,,,
[School Level] Homeschool Curriculum ,kindergarten homeschool curriculum,2400,3,Curriculum - Level/Grade  ,National ,https://opened.co/blog/[school level]-curriculum ,,,
,preschool homeschool curriculum,2400,9,Curriculum - Level/Grade  ,National ,,,,
,high school homeschool curriculum,900,3,Curriculum - Level/Grade  ,National ,,,,
,middle school homeschool curriculum,300,12,Curriculum - Level/Grade  ,National ,,,,
,,,,,,,,,
[Grade] Homeschool Curriculum ,1st grade homeschool curriculum,400,0,Curriculum - Level/Grade  ,National ,https://opened.co/blog/[grade]-curriculum ,,,
,2nd grade homeschool curriculum,300,3,Curriculum - Level/Grade  ,National ,,,,
,3rd grade homeschool curriculum,250,0,Curriculum - Level/Grade  ,National ,,,,
,4th grade homeschool curriculum,250,0,Curriculum - Level/Grade  ,National ,,,,
,5th grade homeschool curriculum,300,0,Curriculum - Level/Grade  ,National ,,,,
,6th grade homeschool curriculum,350,1,Curriculum - Level/Grade  ,National ,,,,
,7th grade homeschool curriculum,350,0,Curriculum - Level/Grade  ,National ,,,,
,8th grade homeschool curriculum,350,0,Curriculum - Level/Grade  ,National ,,,,
,9th grade homeschool curriculum,300,0,Curriculum - Level/Grade  ,National ,,,,
,10th grade homeschool curriculum,150,,Curriculum - Level/Grade  ,National ,,,,
,11th grade homeschool curriculum,90,,Curriculum - Level/Grade  ,National ,,,,
,12th grade homeschool curriculum,60,,Curriculum - Level/Grade  ,National ,,,,
,,,,,,,,,
Homeschool [Subject] Curriculum ,homeschool art curriculum,600,6,Curriculum - Subject ,National ,https://opened.co/blog/homeschool-[subject]-curriculum,,,
,homeschool spanish curriculum,500,7,Curriculum - Subject ,National ,,,,
,language arts homeschool curriculum,500,3,Curriculum - Subject ,National ,,,,
,homeschool math curriculum,1800,39,Curriculum - Subject ,National ,,,,
,homeschool science curriculum,1400,37,Curriculum - Subject ,National ,,,,
,homeschool writing curriculum,600,1,Curriculum - Subject ,National ,,,,
,social studies homeschool curriculum,350,0,Curriculum - Subject ,National ,,,,
,homeschool spelling curriculum,350,0,Curriculum - Subject ,National ,,,,
,history curriculum homeschool,300,7,Curriculum - Subject ,National ,,,,
,,,,,,,,,
Homeschool Curriculum Books ,homeschool curriculum books,450,78,Curriculum,National ,https://opened.co/blog/homeschool-curriculum-books,,,
,,,,,,,,,
Accredited Homeschool Curriculum ,accredited homeschool curriculum,400,45,Curriculum,National ,https://opened.co/blog/accredited-homeschool-curriculum,,,
,,,,,,,,,
Understanding Homeschool Tax Credits ,homeschool tax credit,1500,4,Financial / Tax,National ,https://opened.co/blog/homeschool-tax-credit,,,
,,,,,,,,,
Homeschool Room Ideas ,homeschool room ideas,800,0,General,National ,,,,
,,,,,,,,,
How to Homeschool ,how to homeschool,2600,17,How To / Questions,National ,https://opened.co/blog/how-to-homeschool,,,
,,,,,,,,,
Homeschool Laws by State ,homeschool laws by state,900,14,Legal Requirements,National ,https://opened.co/blog/homeschool-laws,,,
,,,,,,,,,
Homeschool Transcript Templates ,homeschool transcript templates,1000,2,Transcripts,National ,https://opened.co/blog/homeschool-transcript-templates,,,
,,,,,,,,,
Best Accredited Homeschool Programs in [State],accredited homeschool programs in texas,1200,5,Programs - Accredited,State ,https://opened.co/blog/best-accredited-homeschool-programs-[state] OR https://opened.co/[state],https://homeschoolacademy.com/blog/best-homeschooling-programs-in-california/,,
,best homeschool programs in texas,400,12,Programs - Best ,State ,,,,
,,,,,,,,,
[State] Homeschool Coops ,homeschool coops near me,1900,4,Co-ops,State ,https://opened.co/blog/[state]-homeschool-coops,,,
,,,,,,,,,
Homeschool Curriculum [State] ,homeschool curriculum texas,800,7,Curriculum - General,State ,https://opened.co/blog/homeschool-curriculum-[state],,,
,,,,,,,,,
How to Homeschool [State] ,how to homeschool in california,700,26,How To / Questions,State ,https://opened.co/blog/how-to-homeschool-[state],,,
,,,,,,,,,
[State] Homeschool Laws + Requirements,utah homeschool laws,300,1,Laws ,State ,https://opened.co/blog/homeschool-laws-[state],,,
,utah homeschool requirements,100,0,,,,,,
,,,,,,,,,
Versus,homeschool vs public school ,600,,,,,,,
,homeschool vs private school ,200,,,,,,,
,homeschool vs online school ,150,,,,,,,
,unschooling vs homeschooling ,250,,,,,,,
,,,,,,,,,
Specialty Families / Students,Homeschooling while traveling,,,,,,,,
,Homeschooling for military families,,,,,,,,
,Homeschooling for digital nomads,,,,,,,,
,Is homeschooling good for ADHD?,special needs ,,,,,,,
,Is homeschooling good for gifted students?,,,,,,,,
,Homeschooling for struggling learners,,,,,,,,
