Status,Name,Post Date,Source URL,Download,Content Formats
Idea,What happens when kids miss over 100 days of school,07/31/2025,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Idea,VR Education,07/11/2025,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Idea,They Ate me for lunch,07/11/2025,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Posted,Why anxiety is skyrocketing in kids,07/17/2025,,https://share.descript.com/view/B8w1ZCgWObZ,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Posted,Clip #3: The Trust Difference,,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Idea,Clip #2: Real-Life Learning Credits,,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Idea,Clip #1: The Buffet Approach,,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Posted,"Clip 1: ""The 25-Minute Method That's 20X More Effective""",,,https://share.descript.com/view/Z1fPianrFvh,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Idea,CLIP 1,06/05/2025,,https://share.descript.com/view/toA1RoqVoDU,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Idea,"Clip #4: ""The Permission Society Problem"" (OPTIONAL BONUS CLIP)",,,https://share.descript.com/view/L6iayTWNkyp,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Idea,"Clip #3: ""Intentionality in Education"" (Decision-Making)",,,https://share.descript.com/view/y659ip5kaeZ,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Idea,"Clip #2: ""Context Before Content"" (Minecraft Example)",,,https://share.descript.com/view/aIll9nghGVC,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Idea,"Clip #1: ""Just in Case vs Just in Time"" Learning Model",,,https://share.descript.com/view/qiz3qHP7YdJ,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Rejected,Primary Social Media Clip (Improved),05/13/2025,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Staging,"Clip 3: ""When Your Child's Interests Go Beyond Your Knowledge""",,,https://share.descript.com/view/aQpidN3exJM,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Rejected,"Clip 1: ""What Minecraft Taught Me About Modern Education""",,,https://share.descript.com/view/PS295dxgUGA,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Staging,"Clip 3: ""We Blame Our Kids For Our Issues"" (Provocative hook on technology and generations)",,,https://share.descript.com/view/AWSgEBlJtG7,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Staging,"Clip 2: ""The Box Is Now Open"" (Stronger hook from education freedom section)",,,https://share.descript.com/view/oLSQX6r392I,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Staging,"OUTSCHOOL Clip 1: ""Not All Screen Time Is Created Equal"" (As previously compiled - this works well)",,,https://share.descript.com/view/H5Y4cMpZy1B,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Staging,"""No wonder everyone's ditching traditional school... 👀
#homeschooling #education #parentingtips”",04/10/2025,,https://share.descript.com/view/4xjpopWs0vP,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Staging,"CLIP 1: ""Being weird might be your child's superpower""",04/17/2025,,https://share.descript.com/view/P7xkp70nPCp,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Staging,"ITV Racing: ""We love this ❤️ @LizDKelly 🎥 Send us your homeschooling videos and they could be used in this weekend's Opening Show 😄 https://t.co/9lkvbVlfiZ""",12/04/2025,https://x.com/itvracing/status/1996633138190340409,,"Reel (Reel%202a3afe52ef5980ceaab4cc804fe4818b.md), Horse Mask Ideas (Horse%20Mask%20Ideas%202abafe52ef5980b0bb6ad573d4a4c797.md)"
Staging,this is what your kid will regret,,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Posted,The 1 subject that lights up your brain,12/04/2025,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
,Minimalists Clips,12/02/2025,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
,Amy Moore - Name it to Tame it,,,,Podcast clip (Podcast%20clip%202a3afe52ef5980db9380eda257e462de.md)
Idea,"""Zoom school isn't school, it's detention with wifi""",,,,Horse Mask Ideas (Horse%20Mask%20Ideas%202abafe52ef5980b0bb6ad573d4a4c797.md)
Idea,"""A diploma is just expensive paper if you're miserable""",,,,Horse Mask Ideas (Horse%20Mask%20Ideas%202abafe52ef5980b0bb6ad573d4a4c797.md)
Idea,"""Report cards don't measure curiosity""",,,,Horse Mask Ideas (Horse%20Mask%20Ideas%202abafe52ef5980b0bb6ad573d4a4c797.md)
