Name,Host,Record Date,Claude conversation,Download,Long Clip Status,Publish Date,Short Clip Link,Short Clips Status,Source URL,Spotify Link,Status,Thumbnail,YouTube Link,🔮 Master Content Database
Dr. Laura Froyen,,"January 15, 2026",,,Not started,,,Not started,,,Scheduled,,,
Joshua Fields Millburn,,"January 16, 2026",,,Not started,,,Not started,,,Scheduled,,,
Amar Kumar,,"January 16, 2026",,,Not started,,,Not started,,,Scheduled,,,
Bria Bloom,,"January 22, 2026",,,Not started,,,Not started,,,Scheduled,,,
Claire Honeycutt,,"January 23, 2026",,,Not started,,,Not started,,,Scheduled,,,
Sandra Zamalis,,"December 30, 2025",,,Not started,,,Not started,,,Scheduled,,,"Sandra Zamalis Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Sandra%20Zamalis%20Podcast%20YouTube%20Blog%202bfafe52ef5980f88c9df2ba62a839fe.md), OED - Sandra Zamalis Podcast (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/OED%20-%20Sandra%20Zamalis%20Podcast%202bfafe52ef5980b5a586c9c4c55172ee.md)"
Dalena Wallace,,"December 9, 2025",,,Not started,"December 18, 2025",,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/b08ec329-a28c-405d-82f5-a6cbb316e8ab?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"Dalena Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Dalena%20Podcast%20YouTube%20Blog%202c4afe52ef59805ab9afdd78ef9bc28f.md), OED - Podcast Dalena Wallace (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/OED%20-%20Podcast%20Dalena%20Wallace%202c6afe52ef59807dbf11d1b1f61a8110.md)"
Janssen Bradshaw,,"December 11, 2025",,,Not started,,,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/c34d166b-9f9f-44e4-b2c6-f694900eb0a5?share-token=cd6bdc72a180229529b5&content-shared=recording,,Recorded,,,Janssen Bradshaw Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Janssen%20Bradshaw%20Podcast%20YouTube%20Blog%202c6afe52ef5980eb9dbfc0e27459e6dc.md)
Krisy Shaughnessy,,"December 12, 2025",,,Not started,,,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/693c822a318e9b725330579c?share-token=cd6bdc72a180229529b5&content-shared=project,,Recorded,,,Krisy Shaughnessy Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Krisy%20Shaughnessy%20Podcast%20YouTube%20Blog%202d1afe52ef598022b3dbef895d662227.md)
Heather Malin,,"December 10, 2025",,,Not started,,,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/6939d9c201c28ca8da8b6edd?share-token=cd6bdc72a180229529b5&content-shared=project,,Recorded,,,Heather Malin Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Heather%20Malin%20Podcast%20YouTube%20Blog%202c6afe52ef598005a6a7e718838a4683.md)
Jon England,,"March 11, 2026",,,Not started,,,Not started,,,Scheduled,,,
"Amy (@organicallyamy) ",,,,,Not started,,,Not started,,,Scheduled,,,
Gretchen Roe,,,,,Not started,,,Not started,,,Scheduled,,,
Long Clip,Ela,,,,Not started,,,Not started,,,Not started,,,
Long Clips,"Ela, Isaac, Matt",,,,Not started,,,Not started,,,Not started,,,
