Name,Claude conversation,Download,Host,Long Clip Status,Parent item,Publish Date,Record Date,Short Clip Link,Short Clips Status,Source URL,Spotify Link,Status,Sub-item,Thumbnail,YouTube Link,🔮 Master Content Database
"001 Matt Bowman & Isaac ",,,"Isaac, Matt",Not started,,,"July 19, 2024",,Done,,,Done,Matt Bowman & Isaac Long Clips (Podcast/Podcast%20Master%20Calendar/Matt%20Bowman%20&%20Isaac%20Long%20Clips%2023aafe52ef5980dbb295d49ceea807ce.md),,,
Corey DeAngelis on the Parent Revolution,,,"Isaac, Matt",Not started,,,,,Done,,,Done,Corey DeAngelis Long Clips (Podcast/Podcast%20Master%20Calendar/Corey%20DeAngelis%20Long%20Clips%2023aafe52ef5980bcb9cefa6d507a28b2.md),,,
Kerry McDonald on Microschools,,,Isaac,Not started,,,"September 19, 2024",,Done,,,Done,Kerry McDonald Long Clips (Podcast/Podcast%20Master%20Calendar/Kerry%20McDonald%20Long%20Clips%2023aafe52ef59803cb0f6c3ec96164ea9.md),,,
004 - Cassie Shepherd,,,"Charlie, Ela, Matt",Not started,,,,,Done,,,Done,Cassie Shepherd Long Clips (Podcast/Podcast%20Master%20Calendar/Cassie%20Shepherd%20Long%20Clips%2023aafe52ef59806ea257cf4b7c0d93ce.md),,,
003 - Aaron Osmond - The truth about tech careers,,,"Ela, Isaac, Matt",Not started,,,"July 26, 2024",,Done,,,Done,Aaron Osmond Long Clips (Podcast/Podcast%20Master%20Calendar/Aaron%20Osmond%20Long%20Clips%2023aafe52ef5980668c29df4287ff42e4.md),,,
Emily Liebtag on Learner-Centered Ecosystems,,,Matt,Not started,,,,,Done,,,Done,Emily Liebtag Long Clips (Podcast/Podcast%20Master%20Calendar/Emily%20Liebtag%20Long%20Clips%2023aafe52ef59804594ead4c7a9c7c1a1.md),,,
006 - Hannah Frankman - Deschooling,,,Isaac,Not started,,,,,Done,,,Done,Hannah Frankman Long Clips (Podcast/Podcast%20Master%20Calendar/Hannah%20Frankman%20Long%20Clips%2023aafe52ef5980ee8398f96deaff38c0.md),,,
004 - Michael B. Horn on the Education Unbundling,,,Isaac,Not started,,,"August 9, 2024",,Done,,,Done,Michael B. Horn Long Clips (Podcast/Podcast%20Master%20Calendar/Michael%20B%20Horn%20Long%20Clips%2023aafe52ef5980a0907ec062c0b420bd.md),,,
Classical Education - Great Hearts,,,"Charlie, Ela, Isaac",Not started,,,,,Done,,,Done,Parent Long Clips (Podcast/Podcast%20Master%20Calendar/Parent%20Long%20Clips%2023aafe52ef59805d8743e351fe4c8ca3.md),,,
Brian Vas on SNHU,,,"Ela, Isaac, Matt",Not started,,,,,Done,,,Done,Parent Long Clips (Podcast/Podcast%20Master%20Calendar/Parent%20Long%20Clips%2023aafe52ef59807e9d72d4633f6bef62.md),,,
Zoe at Learn Libre,,,"Ela, Isaac, Matt",Not started,,,,,Done,,,Done,Parent Long Clips (Podcast/Podcast%20Master%20Calendar/Parent%20Long%20Clips%2023aafe52ef5980ad8a00ecb1e2107dd5.md),,,
Jacob at Musiquest,,,"Ela, Isaac, Matt",Not started,,,,,Done,,,Done,Parent Long Clips (Podcast/Podcast%20Master%20Calendar/Parent%20Long%20Clips%2023aafe52ef5980a4a8aaf41b886b0534.md),,,
Jantzen Russell (Independent Education Program),,,Isaac,Not started,,,,,Done,,,Done,Parent Long Clips (Podcast/Podcast%20Master%20Calendar/Parent%20Long%20Clips%2023aafe52ef59803e99f9cac230db3d69.md),,,
Chet and Fletch (Andrea) - Hands-on Filmmaking,,https://web.descript.com/59ac9432-b7e1-43c1-b33f-9f5d52c664c6/862d9?kind=video_project&lite=false,Andrea,Not started,,"September 18, 2025",,,Done,https://riverside.fm/dashboard/studios/andreas-opened-pod/projects/680fd948778fcec1aaebcdd0?share-token=c61bcb1fdad7805bdd12&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980db851bfd4702583951.md),,,"Chet and Fletch - Youtube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Chet%20and%20Fletch%20-%20Youtube%20Package%20253afe52ef598020b924cd39ea6b84c9.md), Chet and Fletch - Newsletter Archive (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Chet%20and%20Fletch%20-%20Newsletter%20Archive%20253afe52ef59807683a9dd55242483b0.md), Chet and Fletch - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Chet%20and%20Fletch%20-%20Social%20Media%20Package%20253afe52ef59807eb416e6aad3816482.md), Chet and Fletch - Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Chet%20and%20Fletch%20-%20Blog%20Post%20Package%20253afe52ef5980c78918da28691ff286.md), ARticle (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/ARticle%20272afe52ef59805eb672f727d626f35c.md)"
Heidie Nesset,,,"Isaac, Matt",Not started,,,,,Done,,,Done,Parent Long Clips (Podcast/Podcast%20Master%20Calendar/Parent%20Long%20Clips%2023aafe52ef5980ebacaae158be0e46e1.md),,,
002 - Matt & Isaac,,,"Isaac, Matt",Not started,,,,,Done,,,Done,Parent Long Clips (Podcast/Podcast%20Master%20Calendar/Parent%20Long%20Clips%2023aafe52ef598055aa05dc1b3befab77.md),,,
005 - Andrea Fife,,,Andrea,Not started,,,,,Done,,,Done,Parent Long Clips (Podcast/Podcast%20Master%20Calendar/Parent%20Long%20Clips%2023aafe52ef59803fa5b1ecc32698db88.md),,,
Daniella Park - Baketivity,,,Charlie,Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef598031a4f8d055d7709a3b.md),OpenEd%20Daily/Podcast_Thumbnail_Template_(2).png,https://youtu.be/zFry_bGUKsE,
007 - Ela & Isaac,,,"Ela, Isaac",Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef598065a783d7d7d445fa0a.md),,,
