Title,Checkbox,Status,Text
School is bad at your kid,No,Not started,Your kid isn't 'bad at school' — school is bad at your kid.
"Light fires, not fill minds",No,Not started,Schools fill minds. Open education lights fires.
Age segregation meme,Yes,Not started,When in the real world do you only interact with people your age? Nowhere — except school.
Two-question reset,Yes,Not started,"The two‑question reset for stuck educational journeys:

1. What's not working right now?"
Obedience and outcomes,No,Not started,The same obedience that earns good grades often earns mediocre lives.
Environment > everything,Yes,Not started,Stop trying to teach your child everything. Build an environment where they can learn anything.
"Different ages, same algebra?",Yes,Not started,"We accept that kids walk, read, and talk at different ages — but expect them to learn algebra on the exact same day?"
One-size-fits-all symptoms,No,Not started,"Signs the one-size-fits-all classroom is failing your child:

- Bored when others are struggling"
Four walls don't make a classroom,Yes,Not started,Four walls don't make a classroom. Curiosity does.
From TO to FOR,Yes,Not started,"Problem: Most children feel education is something done TO them, not FOR them. Solution: Ask these 3 questions:"
See who they are,Yes,Not started,"The most powerful educational tool isn't a curriculum, but a parent who says: ""I see who you really are, and I'll help you become that."""
Educational Architect,No,Not started,"The new role every parent needs to embrace: Educational Architect. Design environments where learning happens naturally through mixed formats, real‑world projects, and self‑directed exploration."
Let them build,No,Not started,"Imagine a generation who never had to suppress their curiosity to fit into a system... who enter adulthood not asking ""What should I do with my life?"" but saying ""Let me show you what I've been building."""
Prepare for the unknown world,Yes,Not started,"Prepare for the unknown world
Checkbox: Yes"
"Truth About Kids who ‘Hate School’ ",Yes,Not started,"- The uncomfortable truth about kids who ""hate school"":

Many of history's most successful innovators struggled in traditional classrooms—Einstein, Branson, Jobs."
Education isn’t either/or,Yes,Not started,- Education isn't an either/or choice. The most successful families aren't picking sides—they're picking what works.
Underrated skill in education,Yes,Not started,"The most underrated skill in education:
The ability to go deep on what fascinates you."
"Obsession = advantage ",Yes,Not started,"Your child's obsession isn't the problem.
It's their competitive advantage."
"Future prediction ",Yes,Not started,"Prediction:

The next generation of innovators won't come from:"
"The Most Valuable Learning ",Yes,Not started,"The most valuable learning rarely shows up in a lesson plan.

It shows up in the questions that won't go away."
"Measuring Education ",Yes,Not started,"Stop measuring education in classroom hours.

Start measuring it in:"
More time in the real world,Yes,Not started,"The problem isn't that teens aren't spending enough time in classrooms.

The problem is they're spending too little time in the real world."
"If Your Kid ‘Hates Math’ ",Yes,Not started,"To the parent whose child ""hates math"":

They don't hate math."
Keeping up = falling behind,Yes,Not started,"When you're forced to keep up,
You're more likely to fall behind forever."
