Status,Name,Post Date,Source URL,Download,Content Formats
Posted,"Chrisman on X: ""The sign, at least, is correct. You need to be able to do basic math in your head quickly or you aren’t really numerate. You can’t make decisions with numbers."" / X",12/25/2025,https://x.com/chrisman/status/1911615759203307806,,"Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md), Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)"
Posted,"SEO Article: ""Beyond the 3-Hour School Day: The Reality of Modern Homeschooling""",04/10/2025,,,"Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md), Carousel (Carousel%202aaafe52ef5980d1888af872cd7e425d.md), Podcast (Podcast%202acafe52ef598050940bfae3327571af.md), Deep Dives (Deep%20Dives%202a3afe52ef59800b8af2e1347eda8f30.md)"
Rejected,The valedictorian learns the answers; the visionary asks the question.,04/21/2025,,,"Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Posted,"The point of education isn't to produce students who get the right answers, but adults who ask the right questions.",04/30/2025,,,"Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Posted,Four walls don't make a classroom. Curiosity does.,12/22/2025,,,"Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Idea,Schools fill minds. Open education lights fires.,,,,"Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md), Reel (Reel%202a3afe52ef5980ceaab4cc804fe4818b.md)"
Posted,"The most powerful educational tool isn't a curriculum, but a parent who says: ""I see who you really are, and I'll help you become that.""
",12/19/2025,,,"Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Posted,"When a 5-year-old can't sit still in class, we diagnose the child. Perhaps we should diagnose the chair.",04/26/2025,,,"Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Rejected,"If you're bored in math class, you're ready for more.
If you're lost in math class, you need more time.
If you're 'average' in math class, you're probably both.",,,,"Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Rejected,In school we punish deviation; in life we reward it and call it creativity.,04/15/2025,,,"Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Staging," Mason Ember: pro-child, not always pro-home-schooling",01/16/2026,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Posted,2025 education highlights,12/30/2025,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Staging,"ITV Racing: ""We love this ❤️ @LizDKelly 🎥 Send us your homeschooling videos and they could be used in this weekend's Opening Show 😄 https://t.co/9lkvbVlfiZ""",12/04/2025,https://x.com/itvracing/status/1996633138190340409,,"Reel (Reel%202a3afe52ef5980ceaab4cc804fe4818b.md), Horse Mask Ideas (Horse%20Mask%20Ideas%202abafe52ef5980b0bb6ad573d4a4c797.md)"
Posted,Meet your 18-year-old self,12/17/2025,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Posted,Thanksgiving - one liner,11/26/2025,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Staging,The Greatest Lie in Education,,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Posted,Mastery learning - there’s a better way,01/07/2026,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Posted,Foster interests,01/01/2026,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Posted,"Nature is a necessity not luxury ",12/11/2025,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Idea,"Racing metaphor ",,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Staging,Peter Gray Quote,,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Idea,"The greatest tragedy in education isn't failure, but watching a child's natural curiosity get extinguished by rigid systems.",,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Rejected,Dogs and Sweaters,,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Posted,Follow then lead,12/09/2025,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Posted,Free to learn,12/04/2025,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Posted,"College is a choice, not default",12/31/2025,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Idea,500-year method,,,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md)
Idea,"""Zoom school isn't school, it's detention with wifi""",,,,Horse Mask Ideas (Horse%20Mask%20Ideas%202abafe52ef5980b0bb6ad573d4a4c797.md)
Idea,"""A diploma is just expensive paper if you're miserable""",,,,Horse Mask Ideas (Horse%20Mask%20Ideas%202abafe52ef5980b0bb6ad573d4a4c797.md)
Idea,"""Report cards don't measure curiosity""",,,,Horse Mask Ideas (Horse%20Mask%20Ideas%202abafe52ef5980b0bb6ad573d4a4c797.md)
