Status,Post Date,Name,Sub-item,Parent podcast,Content Formats,Publish Date,Record Date
Staging,01/20/2026,Charlynn Day in the Life,,,"Deep Dives (Deep%20Dives%202a3afe52ef59800b8af2e1347eda8f30.md), OpenEd Daily (OpenEd%20Daily%202aaafe52ef5980bcbeeace72402611aa.md)",,
Staging,01/12/2026,"OED - Thought/Tool/Trend -= ","Minimalists CLIP 3: ""It's Up to Them, Not Me"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Minimalists%20CLIP%203%20It's%20Up%20to%20Them,%20Not%20Me%202bfafe52ef59806e9aabc4c7c0df6d6c.md), Justin Skycak: ""Numerous effective learning strategies have been identified and researched extensively since the early to mid-1900s, with key findings being successfully reproduced over and over again. At a glance, here are some of the highlights: https://t.co/T9XywDzU0S"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Justin%20Skycak%20Numerous%20effective%20learning%20strategi%2017f2c77387954c318bfdef9a16cfe20a.md), My Daughter Woke Up Every Morning Sick With Anxiety — Until I Cut This 1 Thing From Her Life (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/My%20Daughter%20Woke%20Up%20Every%20Morning%20Sick%20With%20Anxiet%20c44284d7cf9d432e87ea622b55e1a70d.md)",,OpenEd Daily (OpenEd%20Daily%202aaafe52ef5980bcbeeace72402611aa.md),,
Posted,01/10/2026,Schedule at the beginning of the year vs. 6 days later,,,Memes (Memes%202a3afe52ef5980ed897ae776a3d05cfe.md),,
Posted,01/09/2026,Instagram - Homeschool Life,,,"Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)",,
Staging,01/09/2026,WEEKLY - Jan. 9,,,Weekly digest (Weekly%20digest%20c62c9b50eb8a4d30977dbea5fb57cada.md),,
Staging,01/19/2026,"Minimalists CLIP 4: ""My Daughter's Dog Walking Business""",,,"Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md), Trend (Trend%202aaafe52ef5980ac8d0ddfaf98a8e653.md)",,
Posted,01/14/2026,Heather Malin Podcast / YouTube / Blog,,Heather Malin (Podcast/Podcast%20Master%20Calendar/Heather%20Malin%202bcafe52ef59808aa5a4eb4503d9f354.md),Podcast (Podcast%202acafe52ef598050940bfae3327571af.md),,
Staging,01/14/2026,Method for Homeschooling,,,Memes (Memes%202a3afe52ef5980ed897ae776a3d05cfe.md),,
Staging,01/13/2026,"Beanie: ""A lot of the problems in K-12 education boil down to over-complicating simple things.""",,,"Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)",,
Staging,01/15/2026,"Claire Honeycutt | ClarifiED 🕊️❤️: ""Was trying to set up a playdate with another homeschool family - effectively it was impossible because we both had too many activities. Homeschoolers may be OVER-socialized🤣""",,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md),,
Staging,01/17/2026,"Daniel Buck, “Youngest Old Man in Ed Reform”: ""I never understand those disheveled, ""parenthood is miserable"" opinions ",,,"Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)",,
Staging,01/16/2026," Mason Ember: pro-child, not always pro-home-schooling",,,Text Heavy (Text%20Heavy%202a3afe52ef5980b0b900d397fc3c4ad6.md),,
Staging,01/09/2026,NY Times rebuttals carousel,,,,,
