Top Choice,Status,Name,Book/Topic/Description,INdividual type,Connection Status,Link,AI summary,Related CRM/Podcast Guest Ideas,Segment,State
Yes,Idea,Adam Peshek (Permissionless Education),,"Blogger, Social Influencer, Substack",,https://permissionlessed.substack.com/,"Adam Peshek is recognized as a blogger and social influencer with a focus on permissionless education. He is active on Substack and Twitter, while his Facebook presence is inactive since 2020. A recommended reading is ""The Accountability Myth"" by Michael McShane.",,,
Yes,Idea,Ainsley Arment,"The Call of the Wild and Free, Wild + Free Homeschool Community","Author, Entrepreneur",Cold Intro,www.bewildandfree.org,"Ainsley Arment is an author and entrepreneur associated with the Wild + Free Homeschool Community, focusing on homeschool parents. The connection status is a cold intro, and the idea is marked as a top choice.",,Homeschool Parents,
Yes,Idea,Akilah Richards,"Raising Free People, Unschooling and Deschooling","Author, Podcast Host",Cold Intro,Raising Free People,"Akilah Richards is an author and podcast host known for ""Raising Free People,"" focusing on unschooling and deschooling, aimed at homeschool parents. The connection status is a cold intro, and the idea is marked as a top choice.",,Homeschool Parents,
Yes,Idea,Bryan Caplan,"The Case Against Education, Signaling Theory","Author, Educator",Cold Intro,http://bcaplan.com/,"Bryan Caplan is an author and educator known for ""The Case Against Education"" and signaling theory. He is connected to the libertarian segment and is considered a top choice for ideas, although the connection status is a cold intro.",,Libertarians (freedom lovers),
Yes,Idea,Connor Boyack,"Tuttle Twins, Children's Books on Liberty","Activist, Author",Cold Intro,Tuttle Twins,"Connor Boyack is an activist and author associated with the Tuttle Twins children's books on liberty, targeting homeschool parents. The connection status is a cold intro, and the idea is marked as a top choice.",,Homeschool Parents,
Yes,Idea,Corey Deangelis,"School Choice, Education Reform","Author, Entrepreneur",Cold Intro,Link,"Corey Deangelis is an author and entrepreneur focused on school choice and education reform, targeting libertarians and constitutionalists. The connection status is a cold intro, and the idea is marked as a top choice.",,Libertarians (freedom lovers) / Constitutionalists,
Yes,Idea,David Kirby,Acton Foundation / Academy D.C.,,,,No content,,,
Yes,Idea,"Delana Wallace ",Microschool network in Kansas,,,,No content,,,
Yes,Idea,Grant Lichtman,Future of K-12 Education,"Author, Educator",,https://www.grantlichtman.com/,"Grant Lichtman, an author and educator focused on the future of K-12 education, plans a two-year journey to gather wisdom from diverse communities across the USA and Canada. He aims to explore multi-generational stories, community values, shared responsibilities, lessons from grandparents, and cultural traditions that could help heal societal divides.",,,
Yes,Idea,Hannah Frankman,,Social Influencer,,https://twitter.com/HannahFrankman,"Hannah Frankman is a social influencer and founder of The Hannah Frankman Podcast. She discusses the benefits of homeschooling and the future of education. She also shares her thoughts on culture, marriage, and families. Follow her on Twitter for more insights.",,,
Yes,Idea,Jeff Sandefur - Acton Academy,,,,,No content,,,
Yes,Idea,Jon England (Libertas Institute),Utah-based school choice policy wonk,"Activist, Blogger",,https://libertas.org/author/jonengland/,"Jon England is an Education Policy Analyst at Libertas Institute, advocating for parental empowerment in education. He has extensive experience in public schools and emphasizes the importance of customized education through initiatives like the Utah Fits All Scholarship, which saw over 27,000 applications. He also discusses challenges faced by microschools and the need for flexibility in education, encouraging exploration beyond traditional college pathways.",,,
Yes,Idea,Katie McNeil,"Marketing Journalist/copy writer for ed tech ","Journalist, Marketing",,https://www.katiejmcneil.com/about/#/,"Katie McNeil is a marketing journalist and copywriter specializing in educational technology businesses. With eight years of experience, she produces various content for B2B and B2C purposes. Her background in journalism and education gives her a unique perspective in the EdTech industry. She is highly motivated and detail-oriented, crafting copy that informs and inspires.",,,
Yes,Idea,Kelly Smith - Prenda Founder,"Amazon.com: A Fire to Be Kindled: How a Generation of Empowered Learners Can Lead Meaningful Lives and Move Humanity Forward eBook : Smith, Kelly: Kindle Store",,,https://www.amazon.com/Fire-Kindled-Generation-Empowered-Meaningful-ebook/dp/B0C1Q3LZCR,"The book discusses the transformative potential of adopting learning as a lifelong practice, emphasizing the concept of the Empowered Learner. It argues that intentional and engaged learning can lead to meaningful contributions to society, highlighting how Prenda microschools are fostering this approach among children. Empowering individuals to take control of their learning is presented as essential for a brighter future.",,,
Yes,Idea,Kerry McDonald,Unschooled,,,https://www.instagram.com/imkerrymcdonald/?hl=en,"Kerry McDonald is associated with the book ""Unschooled,"" which is categorized as an idea and is a top choice. More information can be found on their Instagram profile.",Kerry McDonald (CRM%20Podcast%20Guest%20Ideas%20(1)/Kerry%20McDonald%202b0afe52ef59816c9a8cfb05033421b4.csv),,
Yes,Idea,Leigh Bortins,Classical Conversations Homeschool Curriculum,Educator,Partner Connection,www.classicalconversations.com,"Leigh Bortins is associated with the Classical Conversations Homeschool Curriculum as an educator, focusing on classicist subjects such as Latin and Great Books. She is connected as a partner and is considered a top choice for this curriculum. Links to her social media and website are provided for further information.",,"Classicists (Latin, Great Books), Greek",
Yes,Idea,Marlon,,,,,"Marlon, a 10% shareholder in TTA, has successfully promoted the vision of Jamaica becoming a ""STEM island"" and has been reselling Dreamlink courses for eight years. There are plans to set up a meeting to explore collaboration opportunities, and links to his website and course catalog are provided.",,,
Yes,Idea,Matt Barnes,The Education Game (podcast defunct),Podcast Host,,https://t.co/y3RMS2JKdh,"Matt Barnes is a podcast host known for ""The Education Game,"" which is currently defunct. His status is marked as an idea, and he is active on social media platforms including Facebook, Instagram, Twitter, and YouTube.",,,
Yes,Idea,Michael B. Horn,"Forbes writer/microschools
","Author, Social Influencer",,https://www.forbes.com/sites/michaelhorn/?sh=7934f6d61ab2,"Michael B. Horn is a Forbes writer focused on microschools, recognized as an author and social influencer. He has a personal website and is active on Facebook and Twitter. His status is marked as an idea, and he is a top choice for recommendations.",,,
Yes,Idea,Michael Gibson,Thiel Fellowship and Alternative Education,Entrepreneur,Partner Connection,https://www.thiel.org/,"Michael Gibson is a partner connection associated with the Thiel Fellowship and alternative education, identified as an entrepreneur within the libertarian segment. The status is marked as an idea with a top choice designation.",,Libertarians (freedom lovers),
Yes,Idea,Michael McShane,"""The Accountability Myth"" by Michael McShane: https://files.eric.ed.gov/fulltext/ED615889.pdf",,,,"Michael McShane's book ""The Accountability Myth"" is proposed as a top choice idea, with a link to the full text available online.",,,
Yes,Idea,Michael Strong (The Socratic Experience),,Educator,,https://socraticexperience.com/,"The Socratic Experience is an online school for students aged 8-19, focusing on personalized education through interactive peer learning to help students discover their unique genius. The program includes various age-specific offerings and emphasizes high-level academic skill development. Testimonials from parents highlight the effectiveness of the approach in addressing students' individual needs and fostering their talents.",,,
