Status,Name,Thought/Trend/Tool,Date,Platforms,Caption,1st Comment,Format,Clip/file URL
Draft,Every Human being is different,Thought,,"Instagram, LinkedIn, Newsletter",,,"Image/Graphic, Newsletter, Post",https://share.descript.com/view/YzXkw1fJwDP
Draft,You don’t need permission to start a business,,,"Instagram, LinkedIn",,,Image/Graphic,https://share.descript.com/view/3609rRPxGy8
Draft,You’re probably gonna hate college,,,"Instagram, LinkedIn, X",,,Short clip (reels/short),https://share.descript.com/view/s82XMaAWf4A
Draft,Entrepreneurship is the best lesson you can teach your kids,,,YouTube,,This will be awesome but I’ll need to convert to long clip,Long clip,
Draft,Create before you consume,Tool,,"Instagram, LinkedIn, Newsletter, X",,,"Newsletter, Short clip (reels/short)",https://share.descript.com/view/bKNbWbxpaFN
Draft,Your critics are insecure,Thought,,Newsletter,,,Newsletter,https://share.descript.com/view/N2Wn2n7rY2I
Draft,Are kids today struggling socially?,Trend,,"Facebook, Instagram, Newsletter, X, YouTube",,,"Image/Graphic, Newsletter, Post, Short clip (reels/short)",
Draft,Olivia George’s story,( ) of the Day,,"Newsletter, YouTube",,,"Long clip, Newsletter",https://share.descript.com/view/Sb3aZVzFOrw
Approved (CD),Wait until you realize why everyone rushes to college... 🤫,Trend,01/23/2025,"Facebook, Instagram, LinkedIn, Newsletter, X",,,,
Approved (CD),They said he was too young to start a business... 👀,Thought,01/23/2025,"Facebook, Instagram, LinkedIn, Newsletter, X, YouTube",,,,
Approved (CD),This is why smart parents never use piggy banks... 😳,Tool,01/23/2025,"Facebook, Instagram, LinkedIn, Newsletter, X, YouTube",,,,
