Name,Host,Record Date,Claude conversation,Download,Long Clip Status,Publish Date,Short Clip Link,Short Clips Status,Source URL,Spotify Link,Status,Thumbnail,YouTube Link,🔮 Master Content Database
"001 Matt Bowman & Isaac ","Isaac, Matt","July 19, 2024",,,Not started,,,Done,,,Done,,,
Corey DeAngelis on the Parent Revolution,"Isaac, Matt",,,,Not started,,,Done,,,Done,,,
Kerry McDonald on Microschools,Isaac,"September 19, 2024",,,Not started,,,Done,,,Done,,,
004 - Cassie Shepherd,"Charlie, Ela, Matt",,,,Not started,,,Done,,,Done,,,
003 - Aaron Osmond - The truth about tech careers,"Ela, Isaac, Matt","July 26, 2024",,,Not started,,,Done,,,Done,,,
Emily Liebtag on Learner-Centered Ecosystems,Matt,,,,Not started,,,Done,,,Done,,,
006 - Hannah Frankman - Deschooling,Isaac,,,,Not started,,,Done,,,Done,,,
004 - Michael B. Horn on the Education Unbundling,Isaac,"August 9, 2024",,,Not started,,,Done,,,Done,,,
Classical Education - Great Hearts,"Charlie, Ela, Isaac",,,,Not started,,,Done,,,Done,,,
Brian Vas on SNHU,"Ela, Isaac, Matt",,,,Not started,,,Done,,,Done,,,
Zoe at Learn Libre,"Ela, Isaac, Matt",,,,Not started,,,Done,,,Done,,,
Jacob at Musiquest,"Ela, Isaac, Matt",,,,Not started,,,Done,,,Done,,,
Jantzen Russell (Independent Education Program),Isaac,,,,Not started,,,Done,,,Done,,,
Chet and Fletch (Andrea) - Hands-on Filmmaking,Andrea,,,https://web.descript.com/59ac9432-b7e1-43c1-b33f-9f5d52c664c6/862d9?kind=video_project&lite=false,Not started,"September 18, 2025",,Done,https://riverside.fm/dashboard/studios/andreas-opened-pod/projects/680fd948778fcec1aaebcdd0?share-token=c61bcb1fdad7805bdd12&content-shared=project,,Done,,,"Chet and Fletch - Youtube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Chet%20and%20Fletch%20-%20Youtube%20Package%20253afe52ef598020b924cd39ea6b84c9.md), Chet and Fletch - Newsletter Archive (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Chet%20and%20Fletch%20-%20Newsletter%20Archive%20253afe52ef59807683a9dd55242483b0.md), Chet and Fletch - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Chet%20and%20Fletch%20-%20Social%20Media%20Package%20253afe52ef59807eb416e6aad3816482.md), Chet and Fletch - Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Chet%20and%20Fletch%20-%20Blog%20Post%20Package%20253afe52ef5980c78918da28691ff286.md), ARticle (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/ARticle%20272afe52ef59805eb672f727d626f35c.md)"
Heidie Nesset,"Isaac, Matt",,,,Not started,,,Done,,,Done,,,
002 - Matt & Isaac,"Isaac, Matt",,,,Not started,,,Done,,,Done,,,
005 - Andrea Fife,Andrea,,,,Not started,,,Done,,,Done,,,
Daniella Park - Baketivity,Charlie,,,,Not started,,,Done,,,Done,OpenEd%20Daily/Podcast_Thumbnail_Template_(2).png,https://youtu.be/zFry_bGUKsE,
007 - Ela & Isaac,"Ela, Isaac",,,,Not started,,,Done,,,Done,,,
Krystle Cordingley,Charlie,,,,Not started,,,Done,,,Done,,,
Mark Hyatt - Falcon Aerolab,"Isaac, Matt",,,,Not started,,,Done,,,Done,,https://youtu.be/h53EZNNeFhM,"Touch, Fly, Feel (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Touch,%20Fly,%20Feel%20103afe52ef5980b9bedafafee9b8a4a2.md)"
Nature Kids Connect,Charlie,,,,Not started,,,Done,,,Done,,,"""When you run from a bear with your friends, it definitely forms very strong connections."" (15:27) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/When%20you%20run%20from%20a%20bear%20with%20your%20friends,%20it%20def%2010aafe52ef59803fb3ddcb4b2d84d8b0.md)"
Joey Mascio - Sidekick to Hero,,,,,Not started,,,Done,,,Done,,,
Q&A Matt & Isaac September,"Isaac, Matt",,,,Not started,,,Done,,,Done,,,
Matt Beadreau,"Ela, Matt",,,,Not started,,,Done,,https://podcasters.spotify.com/pod/show/the-opened-podcast/episodes/Stop-Outsourcing-Your-Childs-Education--Matt-Beaudreau-on-Taking-Back-Control-e2q1tn4,Done,OpenEd%20Daily/Podcast_Thumbnail_Template_(2)%201.png,https://youtu.be/IIpvdN48auY,
Jamie Lesko,Ela,"September 18, 2024",,,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66eb1706a95b18266afb168f?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,,,
Sunny,"Charlie, Ela, Matt",,,,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66e1eb136c2675cf4cddb31a?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,,,
Charlynn Chambers,"Ela, Isaac, Matt","September 18, 2024",,,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66eb34735633b16dec60f546?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,,,
Sandy Grant,Ela,"September 20, 2024",,,Not started,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/66ec76d17c3253027a7cb30e?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,,,
