Status,Name,Post Date,Source URL,Download,Content Formats
Posted,11 year old smart kid,11/19/2025,https://x.com/cunha_tristan/status/1931421241744777713/photo/1,,"Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md), Memes (Memes%202a3afe52ef5980ed897ae776a3d05cfe.md)"
Posted,"gt.dad on X: ""Added Monument Valley to 5yo’s iPad. She got the idea quickly, and advanced through most of the puzzles independently, but occasionally got *very* frustrated and impatient.

Makes me want to give her more video games. Good for getting over feeling stuck and incapable."" / X",05/19/2025,https://x.com/gtdad/status/1921763088736374899,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Idea,"Brian Roemmele on X: ",06/19/2025,https://x.com/BrianRoemmele/status/1921943683647053905,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Posted,2 hour learning,12/20/2025,,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Staging,"Daniel Buck, “Youngest Old Man in Ed Reform”: ""I never understand those disheveled, ""parenthood is miserable"" opinions ",01/17/2026,https://x.com/MrDanielBuck/status/2008224639244206203,,"Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Staging,"Claire Honeycutt | ClarifiED 🕊️❤️: ""Was trying to set up a playdate with another homeschool family - effectively it was impossible because we both had too many activities. Homeschoolers may be OVER-socialized🤣""",01/15/2026,https://x.com/HippyMomPhD/status/2009065098464382987,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Staging,"Douglas Green: Kids should love school. That does NOT mean school shouldn't be hard. ",,https://x.com/__douglasgreen/status/2009047193429434678,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Staging,"Danny Steele: ""Everyone needs a cheerleader. https://t.co/lsGI8u4YII""",,https://x.com/SteeleThoughts/status/2009249977021640881,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Staging,"Anne | TimeTrek: ""Step one: Get involved in your kids education. Step 2: Realize you can teach them to do better.""",,https://x.com/TimeTrekFam/status/2009288087730295121,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Posted,"Adam Grant: ""The 8-hour work day was not ordained from above for all time. It was dreamed up by humans in a particular time period. It doesn't make sense for every person, every job, or every organization. And it makes less sense in the knowledge economy. https://t.co/wIME24wRVe""",,https://x.com/AdamMGrant/status/1192198752527929345,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Staging,"Beanie: ""A lot of the problems in K-12 education boil down to over-complicating simple things.""",01/13/2026,https://x.com/Beanie0597/status/2000370972696973513,,"Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Rejected,"Claire Honeycutt | ClarifiED 🕊️❤️: ""It's not too late! If you start reading The Christmas Carol 30 mins out loud TODAY &amp; every week day after, your family will finish it on Christmas Eve🎄""",,https://x.com/HippyMomPhD/status/2000598725945954499,,"Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md), Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)"
Posted,"rebelEducator: ""Childhood is precious Don’t waste it on boring drill-and-kill test prep, fluorescent classrooms, mass-market nonsense, peer pressure and tray lunches It’s a time of unfettered creativity, curiosity, exploration, passion, play, and is to be defended""",12/24/2025,https://x.com/rebelEducator/status/1998994434877473175,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Posted,"Michael Strong: ""When your child wrestles with an idea, resist the urge to correct. Ask what they notice. Ask what they tried. Ask where they want to go next. Stay with the process. The character they build and the thinking they develop will outlast any fact you could have handed them.""",12/26/2025,https://x.com/flowidealism/status/1998544445797470247?s=20,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Posted,"Claire Honeycutt | ClarifiED 🕊️❤️: ""Alternatives to quizzes for reading comprehension👇 – Narration – Act out chapter – Draw the scene/plot – Compare chapter to something else they’ve read – Identify the “big idea” &amp; support with evidence – Build timeline or event sequence Think beyond quizzes. Think Joy♥️""",12/18/2025,https://x.com/HippyMomPhD/status/1999117969063043281,,"Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md), Weekly digest (Weekly%20digest%20c62c9b50eb8a4d30977dbea5fb57cada.md)"
Idea,Types of learning image,,,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Posted,"Wisdom: ""Can you solve it? https://t.co/ikPWq7ELpL""",01/06/2026,https://x.com/Wisdom_HQ/status/1996223648697618814,,"Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md), Memes (Memes%202a3afe52ef5980ed897ae776a3d05cfe.md)"
Posted,Isaac Asimov,12/12/2025,https://www.facebook.com/homeschoolbettertogether/posts/pfbid02KkkfB1mNVSsbNZUAbS1HZWsyf6iSJMoe4k5R6obUPYvMA1HZLp8ztqbyKRm5bqJkl?ref=embed_post,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Posted,Instagram - Homeschool Life,01/09/2026,https://www.instagram.com/p/DIgnX6Mpe2v/,,"Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Idea,"Jeremy Wayne Tate: ""I know homeschool parents who spend less than 3 hours a day “doing school” and their kids test several grades above age level. The kids spend their time building forts, caring for animals, playing instruments, helping out around the house/farm, and reading books for fun. https://t.co/57J0dZR7jK""",11/29/2025,https://x.com/JeremyTate41/status/1994898704579310000,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Posted,3 kids. 3 different schools. 1 lesson.,12/02/2025,,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Staging,Kids on ADHD pills,,,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Posted,Einstein didn’t speak till 4,01/08/2026,,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Posted,OHT - profound parneting advice.,11/21/2025,,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Idea,Matt Bateman - 5yo,,,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
Posted,Ben Somers: Goal setting is all that matters,12/09/2025,https://x.com/ben_m_somers/status/1988733023131693234?s=20,,Screenshot (Screenshot%202a3afe52ef59806c8a82dae10c8fbd8e.md)
