Status,Name,Post Date,Source URL,Download,Content Formats
Idea,The Myth of College Reflecting Success with Isaac Morehouse - YouTube - Hannah Frankman,,https://www.youtube.com/watch?v=Jk9sdqL__wg,,"Trend (Trend%202aaafe52ef5980ac8d0ddfaf98a8e653.md), Reel (Reel%202a3afe52ef5980ceaab4cc804fe4818b.md), YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)"
Idea,Lessons From a Competency-Based Education Experiment - YouTube - Chronicle of Higher Education,,https://www.youtube.com/watch?v=L3H-och9Hfc,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Mike Rowe makes bold claim about 4-year college degrees - YouTube - Fox Business,,https://www.youtube.com/watch?v=0J8GPxzuYVw,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Mike Rowe talks career and technical education - Part 1 - YouTube - SkillsUSA,03/31/2025,https://www.youtube.com/watch?v=JxTBJDCK_eg,https://web.descript.com/edeac1e7-bf11-44bd-8d1f-6f536620d5c6/6b5e0,"YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
Idea,Marilyn Vos Savant,,,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Gary Vee Repeat,,,https://web.descript.com/8857ec75-3c5b-4986-8566-92746ba3de9a,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Barbara Corcoran - everyone learns differently - https://web.descript.com/ed9aa365-e4da-45f1-a13c-4882a4416a8f/74d09,,,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Your kid isn’t bad at school - https://web.descript.com/10a19d9f-52df-4a10-9111-8ac8424e742e,,,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,https://web.descript.com/517fc1c6-13fb-4d8e-8297-f51027f82919/87c33 - 5 tools we use to get homeschool done in 2 hours or less,,,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Dr. Gabor Maté on Parenting and Raising Healthy Children | The Tim Ferriss Show - YouTube - Tim Ferriss,,https://www.youtube.com/watch?v=PIanJhhXEBk,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Is School Worth It? - YouTube - Adam Savage’s Tested,,https://www.youtube.com/watch?v=nGE6P2e35So,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,How AI Could Save (Not Destroy) Education | Sal Khan | TED - YouTube - TED,04/16/2025,https://www.youtube.com/watch?v=hJP5GqnTrNo,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Sam Altman's Method for Clear Thinking - YouTube - David Perell,,https://www.youtube.com/watch?v=tDmjz6HB-yw,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Starting & Scaling Outschool With Amir Nathoo | EM Group Chat #178 - YouTube - Everything Marketplaces,,https://www.youtube.com/watch?v=HbpPCsOfLSo,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,"How to Hide “Science Vegetables” in Viral Videos, with ‪@MarkRober‬ Rober | ReThinking with Adam Grant - YouTube - TED",,https://www.youtube.com/watch?v=Fq0jpQrTEFs,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Todd Rose Schools Mike Rowe on How to Fix Our Broken Public Education System | The Way I Heard It - YouTube - Mike Rowe,05/19/2025,https://www.youtube.com/watch?v=nBcaFNz0mro,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,High School Dropout Turned Harvard Professor Shares What’s Wrong with Education | The Way I Heard It - YouTube - Mike Rowe,,https://www.youtube.com/watch?v=T37evS5I62U,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,James Tanton - YouTube - James Tanton,,https://www.youtube.com/@JamesTantonMath/videos,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,"Dyslexic Barbara Corcoran says "" School Was A Jailhouse"" - YouTube - Elisheva Schwartz",,https://www.youtube.com/watch?v=tPiHdt0OVwo,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,The problem with our education system | Seth Godin & Özlem Özkan - YouTube - Özlem Özkan Bridging Podcast,,https://www.youtube.com/watch?v=xG-yKiDvVOU,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Learning is bravery | Seth Godin - YouTube - TED Archive,,https://www.youtube.com/watch?v=KdI8OmluC9I,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Seth Godin on how schools teach kids to aim low - YouTube - PSCSvideos,,https://www.youtube.com/watch?v=e5ywUhs1Pn4,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Quit Bubble-Wrapping Our Kids! featuring Lenore Skenazy (Part 1) - YouTube - The Cato Institute,,https://www.youtube.com/watch?v=zRmKS2YySG4,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,"Helicopter Parents vs. Free Range Kids: Q&A with ""America's Worst Mom"" Lenore Skenazy - YouTube - ReasonTV",,https://www.youtube.com/watch?v=7ln_tYVoDpM,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Lenore Skenazy: Children Need to Face Issues in Order to Grow | CLIP | American Thought Leaders - YouTube - American Thought Leaders - The Epoch Times,04/23/2025,https://www.youtube.com/watch?v=pKun1umBYN0,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,Tim Ferris on Learning: How to Use DiSSS method To Master any Skill ( CASE STUDY ) - YouTube - Inspiration Abode,,https://www.youtube.com/watch?v=Qr6NTvbx7xA,,YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md)
Idea,"Jordan Peterson on Homeschooling - YouTube - Bite-sized PhilosophyOkay, hold on. I think first we need to establish some sort of gate for determining whether the clip actually aligns with the OpenEd ethos. And in that case, neither of these Jordan Peterson clips would have passed that test. ",,https://www.youtube.com/watch?v=iGu2U3X9-sk,,"YouTube Remix (YouTube%20Remix%202aaafe52ef5980e6abe5c162872974a2.md), Thought (Thought%202aaafe52ef5980659f41c5d7d5dc45ed.md)"
